Iteration,Fitness,Chromosomes
230,-34663.5489,[455.14, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -262.67, 268.91, -472.5, 387.36, 283.18, -485.22, 407.2, 428.71, 440.16, -286.3, -454.24, 386.08, -382.54, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 500.59, 394.7, -377.14, -448.41, -377.21, -142.05, -505.44, -433.23, 365.6, 508.12, -275.71, 504.03, 462.41, -297.34, 511.72, 404.16, -359.39, 507.43, 394.28, -352.38, 508.2, 409.06, 166.37, 305.46]
240,-34791.3504,[448.26, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -262.67, 268.91, -472.5, 387.36, 283.18, -485.22, 407.2, 428.71, 440.16, -286.3, -454.24, 386.08, -382.54, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 505.42, 394.7, -377.14, -448.41, -377.21, -142.05, -505.44, -433.23, 365.6, 508.12, -275.71, 504.03, 452.02, -297.34, 511.72, 404.16, -359.39, 507.43, 394.28, -352.38, 508.2, 409.06, 166.37, 305.46]
250,-34810.7127,[455.14, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -262.67, 268.91, -472.5, 387.36, 283.18, -485.22, 407.2, 428.71, 440.16, -286.3, -459.19, 386.38, -379.67, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 505.42, 394.7, -377.14, -448.41, -377.21, -142.05, -505.44, -433.23, 365.6, 508.12, -275.71, 504.03, 452.02, -297.34, 511.72, 404.16, -359.39, 507.43, 394.28, -352.38, 508.2, 409.06, 166.37, 305.46]
260,-34843.4895,[448.26, 466.35, 421.54, 445.32, 448.47, 461.34, 473.4, -262.67, 271.66, -472.5, 387.36, 283.18, -485.22, 407.2, 428.71, 440.16, -286.3, -459.19, 386.38, -379.67, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 505.42, 394.7, -377.14, -448.41, -383.69, -142.05, -505.44, -433.23, 365.6, 508.12, -275.71, 504.03, 452.02, -297.34, 511.72, 404.16, -359.39, 507.43, 394.28, -353.91, 508.2, 409.06, 166.37, 305.46]
270,-34974.8125,[455.14, 466.35, 421.54, 445.32, 452.37, 461.34, 473.4, -262.67, 271.66, -472.5, 387.36, 283.18, -485.22, 407.2, 428.71, 440.16, -286.3, -459.19, 386.38, -379.67, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 505.42, 394.7, -377.14, -448.41, -383.69, -142.05, -505.44, -433.23, 365.6, 508.12, -275.71, 496.49, 452.02, -297.34, 511.72, 404.16, -359.39, 507.43, 394.28, -353.91, 508.2, 401.26, 166.37, 305.46]
280,-35057.6295,[447.53, 466.35, 421.54, 430.95, 448.47, 461.34, 473.4, -262.67, 271.66, -472.5, 387.36, 283.18, -485.22, 407.2, 428.71, 440.16, -286.3, -459.19, 386.38, -379.67, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 505.42, 394.7, -377.14, -448.41, -383.69, -152.0, -505.44, -433.23, 365.6, 505.06, -275.71, 496.49, 452.02, -297.34, 511.72, 404.16, -359.39, 507.43, 394.28, -353.91, 508.2, 401.26, 166.37, 305.46]
290,-35116.7598,[447.53, 466.35, 421.54, 430.95, 448.47, 461.34, 473.4, -262.67, 271.66, -472.5, 387.36, 283.18, -485.22, 407.2, 428.71, 440.16, -291.96, -459.19, 386.38, -379.67, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 505.42, 394.7, -377.14, -448.41, -383.69, -152.0, -505.44, -433.23, 365.6, 505.06, -275.71, 496.49, 452.02, -297.34, 511.72, 404.16, -359.39, 507.43, 395.46, -353.91, 508.2, 401.26, 166.37, 305.46]
300,-35120.7019,[448.26, 466.35, 421.54, 430.95, 448.47, 461.34, 473.4, -262.67, 271.66, -472.5, 387.36, 283.18, -485.22, 407.2, 428.71, 440.16, -291.96, -459.19, 386.38, -379.67, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 505.42, 394.7, -377.14, -448.41, -383.69, -152.0, -505.44, -433.23, 365.6, 505.06, -275.71, 496.49, 452.02, -297.34, 511.72, 404.16, -359.39, 507.43, 395.46, -353.91, 508.2, 401.26, 166.37, 305.46]
310,-35159.9635,[447.53, 466.35, 421.54, 430.95, 448.47, 461.34, 473.4, -262.67, 280.99, -472.5, 387.36, 271.25, -485.22, 407.2, 428.71, 440.16, -291.96, -459.19, 386.38, -379.67, -452.29, 407.99, 430.78, -285.03, -457.9, 368.43, 505.42, 394.7, -377.14, -448.41, -383.69, -152.0, -505.44, -433.23, 365.6, 505.06, -275.71, 496.49, 452.02, -297.34, 511.72, 404.16, -359.39, 507.43, 395.46, -353.91, 508.2, 401.26, 166.37, 305.46]
320,-35182.1887,[448.26, 466.35, 421.54, 430.95, 448.47, 461.34, 473.4, -262.67, 280.99, -472.5, 387.36, 271.25, -485.22, 407.2, 428.71, 440.16, -291.96, -459.19, 386.38, -379.67, -452.29, 407.99, 430.78, -285.03, -455.15, 368.43, 505.42, 396.7, -377.14, -448.41, -383.69, -152.0, -505.44, -433.23, 365.6, 505.06, -275.71, 496.49, 452.02, -297.34, 511.72, 404.16, -359.39, 507.43, 395.46, -353.91, 508.2, 401.26, 166.37, 305.46]
